sql,num_tables,num_joins,num_filters,num_subqueries,subquery_depth,num_aggregates,has_groupby,has_orderby,has_limit,select_star,window_functions,udf_usage,s3_scan,cartesian_join,query_length,estimated_table_size_max,estimated_join_output,estimated_output_rows,estimated_sort_cost,select_star_columns_estimate,label
"SELECT t0.id FROM small_table t0 WHERE t0.id IN (2,44,89) AND t0.id = 483 ORDER BY t0.id DESC ",1,0,1,0,1,0,0,1,0,0,0,0,0,0,93,100,10,10,33.219280948873624,0,0
"SELECT t0.ts, t0.id, t0.value, SUM(t0.id) FROM small_table t0 ",1,0,0,0,1,1,0,0,0,0,0,0,0,0,61,100,100,100,664.3856189774724,0,0
"SELECT * FROM (SELECT t4.ts, t4.payload, t2.ts FROM huge_events t0 INNER JOIN big_sales_table t1 ON t0.user_id = t1.user_id RIGHT JOIN huge_events t2 ON t0.user_id = t2.user_id LEFT JOIN clickstream t3 ON t0.user_id = t3.user_id LEFT JOIN huge_events t4 ON t0.user_id = t4.user_id WHERE t3.ts BETWEEN '2020-01-01' AND '2022-12-31' AND t3.event_type IS NOT NULL LIMIT 50 ) sub WHERE sub.event_id IS NOT NULL",3,4,2,1,1,0,0,0,1,1,0,0,0,0,406,50000000,625,625,5804.820237218405,12,2
"SELECT t0.val, t0.id FROM small_lookup t0 WHERE t0.id = 115 AND t0.id = 502 LIMIT 1000 ",1,0,1,0,0,0,0,0,1,0,0,0,0,0,86,1000,100,100,664.3856189774724,0,0
"SELECT t0.event_id, t1.payload, t2.user_id FROM clickstream t0 INNER JOIN huge_events t1 ON t0.user_id = t1.user_id INNER JOIN clickstream t2 ON t0.user_id = t2.user_id WHERE t0.event_type IS NOT NULL AND t1.user_id IN (72,83,98,55) AND t1.ts > '2021-01-01' AND t2.ts BETWEEN '2020-01-01' AND '2022-12-31' AND t2.event_id = 894 ",2,2,5,0,1,0,0,0,0,0,0,0,0,0,327,50000000,250000,250000,4482892.142331043,0,1
"SELECT t0.ts, t1.ts, t1.id FROM small_table t0 RIGHT JOIN small_table t1 ON t0.id = t1.id WHERE t0.id = 134 AND t0.id = 424 ORDER BY t1.id DESC LIMIT 10 ",1,1,1,0,0,0,0,1,1,0,0,0,0,0,152,100,10,10,33.219280948873624,0,0
"SELECT t0.ts, t0.value FROM small_table t0 ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,100,100,100,664.3856189774724,0,0
"SELECT t0.id, t0.ts, t0.value FROM small_table t0 WHERE t0.ts BETWEEN '2020-01-01' AND '2022-12-31' LIMIT 50 ",1,0,1,0,0,0,0,0,1,0,0,0,0,0,108,100,10,10,33.219280948873624,0,0
"SELECT t0.value, t0.ts, t0.id FROM small_table t0 WHERE t0.ts BETWEEN '2020-01-01' AND '2022-12-31' AND t0.value IS NOT NULL LIMIT 50 ",1,0,2,0,0,0,0,0,1,0,0,0,0,0,133,100,10,10,33.219280948873624,0,0
"SELECT t0.id, t0.ts, AVG(t0.value) FROM small_table t0 GROUP BY t0.id ORDER BY t0.ts DESC LIMIT 50 ",1,0,0,0,1,1,1,1,1,0,0,0,0,0,98,100,100,5,11.60964047443681,0,0
"SELECT t0.id, t0.value, t0.ts, SUM(t0.id) FROM small_table t0 WHERE t0.ts > '2021-01-01' AND t0.id = 645 GROUP BY t0.ts ORDER BY t0.ts DESC ",1,0,1,0,1,1,1,1,0,0,0,0,0,0,139,100,10,1,0.0,0,1
